"Product","product_map"
"IS1380-like element IS612B family transposase","A39963"
"IS1380-like element IS613 family transposase","A20060"
"IS1380-like element IS614 family transposase","A50739"
"IS1380-like element IS615 family transposase","A31205"
"IS1380-like element IS616 family transposase","A50738"
"IS1380-like element IS942 family transposase","A55418"
"IS1380-like element ISAar10 family transposase","A46500"
"IS1380-like element ISAar11 family transposase","A46515"
"IS1380-like element ISAar12 family transposase","A46523"
"IS1380-like element ISAar32 family transposase","A46506"
"IS1380-like element ISAar8 family transposase","A46487"
"IS1380-like element ISAar9 family transposase","A46501"
"IS1380-like element ISAcr4 family transposase","A64930"
"IS1380-like element ISAzo40 family transposase","A61827"
"IS1380-like element ISAzs25 family transposase","A50918"
"IS1380-like element ISAzs3 family transposase","A50887"
"IS1380-like element ISBaov1 family transposase","A27865"
"IS1380-like element ISBco1 family transposase","A36938"
"IS1380-like element ISBco2 family transposase","A36943"
"IS1380-like element ISBdi2 family transposase","A34334"
"IS1380-like element ISBf11 family transposase","A57202"
"IS1380-like element ISBf12 family transposase","A27859"
"IS1380-like element ISBfi1 family transposase","A22014"
"IS1380-like element ISBha1 family transposase","A63997"
"IS1380-like element ISBli4 family transposase","A43179"
"IS1380-like element ISBli5 family transposase","A43181"
"IS1380-like element ISBvu1 family transposase","A26913"
"IS1380-like element ISCef6 family transposase","A64009"
"IS1380-like element ISCef7 family transposase","A46477"
"IS1380-like element ISCgl4 family transposase","A27649"
"IS1380-like element ISCku8 family transposase","A50926"
"IS1380-like element ISCku9 family transposase","A50940"
"IS1380-like element ISClba1 family transposase","A37573"
"IS1380-like element ISCli1 family transposase","A34765"
"IS1380-like element ISCph6 family transposase","A71397"
"IS1380-like element ISCph9 family transposase","A71400"
"IS1380-like element ISCur1 family transposase","A31346"
"IS1380-like element ISCysp10 family transposase","A66582"
"IS1380-like element ISCysp9 family transposase","A38592"
"IS1380-like element ISDau1 family transposase","A66253"
"IS1380-like element ISDau2 family transposase","A66246"
"IS1380-like element ISDre2 family transposase","A51413"
"IS1380-like element ISDre3 family transposase","A51414"
"IS1380-like element ISDre4 family transposase","A51411"
"IS1380-like element ISEc9 family transposase","A32637"
"IS1380-like element ISEcp1 family transposase","A7351"
"IS1380-like element ISEnca1 family transposase","A34565"
"IS1380-like element ISFsi1 family transposase","A70933"
"IS1380-like element ISGbr1 family transposase","A44861"
"IS1380-like element ISGosp1 family transposase","A56348"
"IS1380-like element ISGsp2 family transposase","A26945"
"IS1380-like element ISHmo1 family transposase","A59947"
"IS1380-like element ISHoc1 family transposase","A60716"
"IS1380-like element ISKpn23 family transposase","A32276"
"IS1380-like element ISLefe1 family transposase","A71453"
"IS1380-like element ISLsp3 family transposase","A40822"
"IS1380-like element ISLsp5 family transposase","A40824"
"IS1380-like element ISMae9 family transposase","A57465"
"IS1380-like element ISMaq3 family transposase","A39966"
"IS1380-like element ISMaq4 family transposase","A41778"
"IS1380-like element ISMasp7 family transposase","A63946"
"IS1380-like element ISMav7 family transposase","A13911"
"IS1380-like element ISMav8 family transposase","A26853"
"IS1380-like element ISMesp2 family transposase","A66493"
"IS1380-like element ISMex4 family transposase","A43824"
"IS1380-like element ISMpo3 family transposase","A55858"
"IS1380-like element ISMsm10 family transposase","A42435"
"IS1380-like element ISMsm11 family transposase","A42410"
"IS1380-like element ISMsm12 family transposase","A42425"
"IS1380-like element ISMsm3 family transposase","A42397"
"IS1380-like element ISMva3 family transposase","A64088"
"IS1380-like element ISMyma2 family transposase","A62578"
"IS1380-like element ISMyma7 family transposase","A51720"
"IS1380-like element ISNha3 family transposase","A52231"
"IS1380-like element ISNml1 family transposase","A64959"
"IS1380-like element ISNml2 family transposase","A64956"
"IS1380-like element ISOan2 family transposase","A46073"
"IS1380-like element ISPa33 family transposase","A39657"
"IS1380-like element ISPelu1 family transposase","A35046"
"IS1380-like element ISPme1 family transposase","A31583"
"IS1380-like element ISPosp7 family transposase","A60298"
"IS1380-like element ISPph3 family transposase","A68442"
"IS1380-like element ISPsp9 family transposase","A45316"
"IS1380-like element ISPto6 family transposase","A66403"
"IS1380-like element ISRer1 family transposase","A45613"
"IS1380-like element ISRgn3 family transposase","A43719"
"IS1380-like element ISRjo1 family transposase","A64301"
"IS1380-like element ISRop1 family transposase","A37407"
"IS1380-like element ISRsp7 family transposase","A58583"
"IS1380-like element ISSfu1 family transposase","A36956"
"IS1380-like element ISSlsp1 family transposase","A62754"
